a-i はーい
anuau ファンクラブ
aneu ファンケル
ani- ファンシー
anai- ファンタジー
anauo ファンタスト
anaenauu ファンダメンタルズ
ane-on ファンデーション
ano ファンド
anauu ファンハウス
ana-e ファンファーレ
uano フアンボ
i-o フィート
i-uoa-u フィールドワーク
iane フィアンセ
ieua フィエスタ
ieua フィエスタ
iao フィガロ
iua フィギュア
iuon フィクション
ii- フィジー
ii- フィジー
iiau フィジカル
iiaueia フィジカルレイヤ
ia- フィッシャー
iuo-a- フィッツウォーター
iuionu フィッツシモンズ
io フィット
ina-e フィナーレ
inaui フィナルシ
inanie-uoaia フィナンシエール・ド・パリバ
inanauaiuu フィナンシャル・タイムズ
iniu フィニッシュ
inii フィニディ
inineuo フィニンベスト
ionai フィボナッチ
iouo フィヨルド
iau'i-n フィラスティーン
iaeuia フィラデルフィア
iaeuia フィラデルフィア
iaeno フィラメント
iaiao- フィラリア病
ianuoi- フィランスロピー
iii-na フィリッピーナ
iiin'enaneiiai フィリピン沿岸警備隊
iu フィル
iu フィル
iua フィルタ
iua- フィルター
iuu フィルム
iene フィレンツェ
iooi- フィロソフィー
in フィン
ina-aiu フィンガー５
ina-o-u フィンガーボール
inoe- フィンドレー
inano フィンランド
inanoaua フィンランドマルカ
uiaoien フイガロ技研
uiuio- フイフイ教
uio フイ子
u-ini フウシンシ
u-euaa フウレップ川
e フェ
e-u フェース
e-n フェーン
ea フェア
ea フェア
eaue- フェアウエー
eaue- フェアプレー
eai-ano フェアリーランド
eainu フェアリング
eien フェイゲン
eiu フェイス
eiuou フェイスオフ
eiu フェイズ
eino フェイント
ea- フェザー
eu'iau フェスティバル
eu'iau フェスティヴァル
ei フェッチ
eiaiuu フェッチサイクル
ea- フェッヒャー
eeaueuuueuaan フェデラルエクスプレスジャパン
eeauano フェデラルファンド
eniuu フェニックス
eniuuio-o フェニックスリゾート
enooa フェノロサ
einiuo フェミニスト
einin フェミニン
ea-i フェラーリ
eaio フェラチオ
ei- フェリー
ei-o-o フェリーボート
eiio フェリシモ
eiuoauinanai フェリス女学院短大
euuan フェルツマン
euo フェルト
eunaneu フェルナンデス
euu-u フェルミウム
eo-aaei- フェロー・アカデミー
eo-eu フェローテック
eoon フェロモン
eninu フェンシング
enu フェンス
o-euaiau フォーエスキャピタル
o-iuu フォーヴィスム
oa フォア
oau-n フォア・チューン
oauauno フォアグラウンド
oaan フォアマン
oua- フォスター
oua-eni フォスター電機
ouu フォックス
ouuoo フォックスボロ
oo フォト
ooi-i- フォトＣＤ
ooeinu フォトエッチング
oouoiuaio- フォトクロミック材料
oooneuo フォトコンテスト
ooiouai フォトリソグラフィ
ooon フォトロン
ouuu フォルクス
ouuua-enuu-uaan フォルクスワーゲングループジャパン
ouaiaia フォルツァ・イタリア
oue フォルテ
ouain フォルマリン
ouu フォルム
oeuoouuuau フォレストゴルフクラブ
oo- フォロー
oo-au フォローアップ
ooa フォロア
on フォン
on フォン
one-nu フォンテーヌ
onenuo- フォンテンブロー
ono フォント
onoeoi フォントメモリ
onnoian フォンノイマン
ua フカ
uaaa フカガワ
uaiua フカミグサ
uauo-i フガク工機
ui フキ
uinoo- フキノトウ
uio フキ子
uu フク
uue フクエ
uuia フクシマ
uuuo- フクジュソウ
uuaeni フクダ電子
uuiaauo-o- フクビ化学工業
uue フクベ
uuo フクヨ
uuauue フクラスズメ
uuo- フクロウ
uue フクヱ
uue フク江
uuo フク子
uu フグ
ueu フケる
uou フコク
uouuan フコク物産
ua フサ
uaiiaua フサイチカツラ
uae フサエ
uao フサオ
uao フサコ
uano フサノ
uao フサヨ
uae フサヱ
uae フサ江
uao フサ子
ui フシ
uinoi フシノキ
ui フジ
ui フジ
uii フジイ
uiunno フジウンノ
uie フジエ
uio-euu フジオーゼックス
uiiai フジキカイ
uioian フジコピアン
uianeiiinua-iu フジサンケイリビングサービス
uieia フジセイカ
uia フジタ
uiao-oe-on フジタコーポレーション
uiu- フジチュー
uiuu フジックス
uio フジッコ
uieu フジテック
uiou フジトク
uino フジノ
uinoaen'o- フジノマッケンオー
uiaaa フジバカマ
uian フジパン
uianuoa- フジパンストアー
uiu-u フジフーズ
uiau フジマック
uioiano- フジモリ産業
uiunianu フジユニバンス
uoi フジョキ
uiaa フジワラ
uie フジヱ
uio フジ子
uiu-au フジ住宅
uieio- フジ製糖
uienai フジ電材
uieneu フジ電設
uueaa フスベ山
ueini フセイニ
uein フセイン
uoean フソベ山
ua フタ
uaio-i フタキ商事
uaa フタタ
uaa フタバ
uaaoo フタバ図書
uaiiua フタリシズカ
uano- フダンソウ
ui フヂ
uie フヂエ
uio フヂ子
u' フッ
uaeu フッカケる
uu フック
uen フッケン
uo フッコ
ua フッタ
uoo-u フットボール
uoa-ueiai-a-iu フットワークデリバリーサービス
uoa-ueneu フットワーク建設
uuuaa フップク川
uuiae フップシ岳
uouiaa フッポウシ川
uo フッ素
uu フツ
uuine フヅシ根
ue フデ
ueia フデ岩
uoi フトイ
uon フトン
uo- フドー
uo-enen フドウ建研
una フナ
unaoi フナコシ
unau'i フナフティ
unaui フナムシ
uno-noai フノウの滝
unoi フノリ
ueuo フベルト
uaia- フマキラー
ui フミ
uie フミエ
uiea フミエダ
uio フミコ
uia フミヤ
uio フミヨ
uie フミヱ
uio フミ子
uuuu フムフム
uono- フモ・ノー
uonnaiae フモンナイ岳
u-on フュージョン
u-a-in フューチャーイン
uu フユ
uu- フユウ
uuo フユ子
uo フヨ
uo- フヨウ
uo-o- フヨウホウ
uono フヨノ
uai フライ
uainu フライング
uau フラウ
uau フラグ
uauene-on フラグメンテーション
uauo フラスコ
uauoe-on フラストレーション
uaanu フラダンス
uau フラッグ
uau フラッシュ
uauaneo フラッシュ金子
uao フラット
uaoeouoa フラットベッドプロッタ
uaa- フラッパー
uanaa フラナダ
uano フラノ
uaua フラフラ
uaino フラミンゴ
uaeno フラメンコ
uaa- フラワー
uaa-naaien フラワー長井線
uan フラン
uanneu フランネル
ui フリ
ui- フリー
ui-anninu フリーランニング
uiu-i フリウーリ
uie-u フリエール
uio フリオ
uie-oan フリゲート艦
uiui- フリスビー
uia-uia- フリッパーズ・ギター
uiuuou フリップフロップ
uiuuu フリブルク
uu-euu フリューゲルス
uiu フリル
uu フル
uu-u フルーツ
uu-e フルーレ
uuoouaiu フルオロウラシル
uue-o フルゲート
uuo-u フルコース
uuaiu フルサイズ
uueo フルセット
uuaiu フルタイム
uuon フルトン
uune-u フルネーム
uuauu フルハウス
uuauu フルハウス
uuuaio フルブライト
uueiauo フルペイアウト
uuaaon フルマラソン
uuoeu フルモデル
ue-u フレーク
ue-uie- フレームリレー
uea フレア
uei フレイ
ueiiuu フレキシブル
ueuuaan フレックスジャパン
ueuouino-o- フレッグ食品工業
ueu フレッシュ
ueei フレッセイ
uea- フレッチャー
ueo フレッド
ueeiu フレデリック
ueeuae フレベツ岳
ueni フレンチ
uenoi- フレンドリー
ueae フレ岳
uo- フロー
uo-enuaa フローレンス芳賀
uoa フロア
uoa- フロアー
uoiu フロイス
uoinoano- フロイント産業
uou フロック
uoi フロッピ
uou フロップ
uoia フロリダ
uon フロン
uonoaau フロントガラス
ua' フワッ
uaua フワフワ
uai フワリ
un フン
un フン
unuai フンシュ崎
unineu フンシンペック
uno-ino-u フンドーキン醤油
une フンベ
uneaa フンベ川
unouo フンボルト
unouoenin フンボルトペンギン
u- ブー
u-nu-n ブーンブーン
ui ブイ
uiaii- ブイ・アイ・ピー
uion ブイヨン
uenaiuaaan ブエナ・ビスタ・ジャパン
uenouaieu ブエノスアイレス
uau ブカブ
uaeuo ブカレスト
uanan ブキャナン
uoau ブコバル
ua- ブザー
ui ブシ
uuan ブシュカン
uunua ブシュンブラ
uu ブス
uuaino ブスカイノ
uo-ni ブゾーニ
ua ブタ
uaeuo ブタペスト
uan ブタン
uaeuo ブダペスト
uii ブチキ
uu ブック
uueu- ブックレビュー
uu ブッシュ
uo-ai ブッソウ崎
uaaa ブッダガヤ
uo ブット
uo-o- ブッポウソウ
uuuu ブツブツ
u'iu ブティック
u'iua ブティック社
ueei ブテレジ
uo ブト
uoaaeuaa ブトカマベツ川
uo- ブドウ
uo-o- ブドウ糖
una ブナ
unaoo-e ブナオ峠
unaaa ブナ坂
uniai ブニ崎
uaa ブハラ
uua ブブカ
uu ブユ
uo ブヨ
ua ブラ
ua-uu ブラームス
uaian ブライアン
uaino ブラインド
uaua- ブラウザー
uaunan ブラウン管
uaan ブラカン
uauuon ブラクストン
uaa- ブラザー
uaaiu ブラザビル
uai ブラシ
uaa- ブラジャー
uaiu ブラジル
uau-u ブラスール
uauano ブラスバンド
uaiuaa ブラチスラバ
uau ブラック
uauiuo ブラックリスト
uauu ブラッグス
uaa-u ブラッサール
uaeu ブラッセル
uao ブラッド
uaoe- ブラッドレー
uau ブラム
uaoii ブラヨビッチ
uaeo ブラレット
uanu ブランク
uanon ブランドン
ui ブリ
ui-inu ブリーチング
ui-inu ブリーフィング
uiai ブリアリ
uii ブリキ
uiuu ブリクス
uia-o ブリザード
uiia ブリジタ
uiuou ブリストル
uiuen ブリスベン
uian ブリタン
uiiuon ブリヂストン
uiiaun ブリッジタウン
ui'iueaoue-u ブリティッシュ・エアロスペース
ui'iuoonia ブリティッシュコロンビア
uueu ブリュッセル
uune ブリュネ
uinuouuo ブリンクホルスト
uu ブル
uu ブル
uu- ブルー
uu-ua-u ブルームバーグ
uuaia ブルガリア
uuan ブルガン
uuinaao ブルキナファソ
uuo-nu ブルゴーニュ
uuoa ブルジョア
uuon ブルゾン
uua-nu ブルターニュ
uuuu ブルックス
uuuin ブルックリン
uuo-a- ブルドーザー
uuou ブルドッグ
uunei ブルネイ
uuneo ブルネット
uuuu ブルブル
uuen ブルペン
uuon ブルボン
uuaou ブルラコフ
uuni ブルンジ
uunaano ブル中野
ue-i ブレーキ
ue-noauo ブレーントラスト
uea ブレア
ueii- ブレイキー
ueinuan ブレインズＩ
uea- ブレザー
ueineu ブレジネフ
ueuo ブレスト
ueno ブレンド
uenoai ブレンド米
uo- ブロー
uo-ninu ブローニング
uoia- ブロイラー
uou ブロス
uou ブロック
uooi- ブロッコリー
uoaio ブロマイド
uoin ブロリン
uonuu ブロンクス
uono ブロンド
una ブンカ
unen ブンセン
uneno- ブンゼン灯
unan ブンタン
uno- ブンチョウ
u-eo プーケット
u-na- プーンター
ueuoio プエルトリコ
ueuoio プエルトリコ
uan プサン
uuaai プシュパマリ
uo- プジョー
uiineaaa-u プチ・シネマ・バザール
uiaonna プチ・マドンナ
uiuu プチブル
uu プッシュ
uuon プッシュホン
ui-ni プッチーニ
uo プット
uinu プディング
uoiaoaaa プトイサロマ川
uoain プトマイン
unonen プノンペン
uion プミポン
uaia プライア
uaia- プライヤー
uaua プラウダ
uaa-o プラカード
uauiau プラクチカル
uau プラグ
uaua'iuu プラグマティクス
uao- プラコー
uaa プラザ
uaaiu プラザビル
uau プラス
uauo-o- プラス工業
uaua プラズマ
uauaaneu プラズマパネル
uaeoiu プラセオジム
uaon プラソン
uaanau プラタナス
uaoniu プラトニック
uaneoo-o- プラネット東京
uaa プラハ
uau プラム
uaoeu プラモデル
uan プラン
uanneu プランネル
ui-u プリーズ
ui-u プリーツ
uianuu プリアンブル
uionaia プリコンパイラ
uiiaan プリシラチャン
uiuu プリズム
uiu プリッツ
uiui プリプリ
uieioa-o プリペイドカード
uia プリマ
uio プリモ
uin プリン
uinouu- プリントスルー
uu-on プルートン
uu-u プルーフ
uuoi プルコギ
uuu プルス
uuenaueieioen プルデンシャル生命保険
uuo プルト
uuo プルト
ue プレ
ue- プレー
ue-no-a プレーンソーダ
ueaeuena- プレアデスセンター
ueiaio プレイガイド
uein プレイン
ueuua- プレクスター
uei-un プレシーズン
ueieno プレジデント
ueu プレス
ueuo-o- プレス工業
ueenu プレゼンス
ueenoauu プレゼントハウス
ueaoue プレタポルテ
ueuu プレックス
uea- プレッシャー
ueinu プレッシング
ueeu プレッツェル
ueoia プレトリア
uenau プレナス
ueau プレハブ
ueaa-o プレパラート
ueu- プレビュー
ueiuu プレフィックス
ueia プレミア
ueu プレム
ueu-o プレリュード
uo プロ
uoien プロイセン
uoua- プロクター
uoua-anoanuu プロクター・アンド・ギャンブル
uouaa プログラマ
uoueiu'i プログレシスティ
uooieu プロコフィエフ
uoi-a プロシージャ
uoeno プロセント
uoaou プロタソフ
uoauon プロダクション
uoauo プロダクト
uoa プロッタ
uoeniu プロテニス
uou-a プロデューサ
uou-u プロデュース
uooauinu-u プロトアクチニウム
uooniiuua-iuena- プロトンシリリュスサービスセンター
uoaia- プロバイダー
uoanu プロバンス
uoaana プロパガンダ
uoanau プロパンガス
uou-o プロヒューモ
uoaiu プロファイル
uoeonau プロフェッショナル
uoueu プロブレム
uoueuo-o プロブレムモード
uoea プロペラ
uooion プロポジション
uoiu プロミス
uoo-o プロモウト
uoau プロヤス
uou-oauiu プロルート丸光
uoo-u プロローグ
uonua- プロンプター
uoanu プロヴァンス
uooen プロ保険
e-uouuiei ヘール・ボップすい星
ea ヘア
eaaon ヘアサロン
eauaiu ヘアスタイル
eaoniu ヘアトニック
eanu-o ヘアヌード
eieani ヘイケガニ
eiu ヘイル
eia ヘキサ
eiuoaan ヘキストジャパン
eua-u ヘクタール
euoauau ヘクトパスカル
eua'iau ヘクマティアル
eeoni- ヘゲモニー
euon ヘストン
eo ヘソ
eoui ヘソクリ
ea ヘタ
eanoui ヘタノ串
eauoe ヘタ黒瀬
eia ヘチマ
eiano ヘッジファンド
ea ヘッダ
einu ヘッディング
eo ヘット
eo ヘッド
eoaio ヘッドライト
eiiui ヘッピリムシ
einu ヘディング
einuu-o ヘディングシュート
eoo ヘドロ
ei ヘビ
ei- ヘビー
eiiio ヘビイチゴ
euai ヘブライ
euon ヘブロン
eua-n ヘプバーン
eon ヘボン
eoia ヘボ島
eouoin ヘモグロビン
eaaai ヘラガ崎
eauna ヘラブナ
eauooiu-n ヘラルド・トリビューン
ei ヘリ
eiooo-u ヘリオトロープ
eiau ヘリカル
eioua- ヘリコプター
eio-o ヘリポート
eu ヘル
eui- ヘルシー
euuena- ヘルスセンター
euu ヘルツ
euo-u ヘルツォーク
eunia ヘルニア
eua ヘルパ
eua- ヘルパー
euu ヘルフ
euu ヘルプ
euuu ヘルムズ
euenen ヘルメンセン
eeniuu ヘレニズム
eenaano ヘレン笹野
eoin ヘロイン
en ヘン
enauin ヘン・サムリン
ena-onanoieoueno ヘンダーソン・ランド・ディベロプメント
enoiuu ヘンドリクス
eni- ヘンリー
eniu ヘンリク
enu-a ヘンルーダ
e-a- ベーカー
e-u ベール
ea ベア
ea- ベアー
ea-o ベアード
eae ベアテ
eaa ベアラ
eaaue-u ベアラフレーム
eainu ベアリング
eainuu ベアリングズ
ei ベイ
eiiaonu ベイシア本部
eiu ベイズ
eii ベイチ
eia- ベイラー
eiu-o ベイルート
euneuaa ベウンベツ川
eoua-o ベオグラード
euou ベクトル
euouaeii ベクトル発生器
eeo ベケット
eonia ベゴニア
eino ベシノ
eiiai ベシ岬
eiauu ベジタブル
ea-u ベジャール
euueuonuiu ベススメルトヌイフ
euo ベスト
euoeni ベスト電器
euan ベスラン
euio ベズビオ
eeua ベセスダ
ea ベタ
ea- ベター
ea-aiu ベターライフ
eauu ベタつく
eaea ベタベタ
ea' ベチャッ
ea- ベッカー
eo-ono ベッコウトンボ
ei-no ベッチーニョ
eo ベッド
eoaun ベッドタウン
eiiaiaa ベッピリガイ山
eueeu ベツレヘム
eean ベテラン
eo ベト
eonau ベトナム
eoeo ベトベト
eoanieuu ベトランシメックス
eon ベトン
enan ベナン
eni-uoanauan ベニー・グッドマン楽団
enianio ベニサンピット
eniae ベニザケ
eniuue ベニスズメ
eniana ベニバナ
eniau ベニマス
enia ベニヤ
eniaia ベニヤ板
enin ベニン
eneuea ベネズエラ
eneueaoiau ベネズエラボリバル
eneia ベネチア
eneeo-oe-on ベネッセコーポレーション
eneo ベネット
eneon ベネトン
eneuuu ベネルスク
ei- ベビー
ei-uu ベビー服
eeieoiai ベベシレト岬
eeo ベベト
eeuiaa ベベルイ川
eone-ueuan ベヨネース列岩
ea ベラ
ea ベラ
eau ベラウ
eauo-aou ベラウ共和国
eauo ベラスコ
eaai ベラヤチ
eau-i ベラルーシ
eau-i ベラルーシ
eana ベランダ
ei- ベリー
ei-u ベリーズ
eiai ベリファイ
eiu-u ベリリウム
eu ベル
eu ベル
eu ベル
eu-na ベルーナ
eui- ベルギー
eui-uan ベルギーフラン
euu ベルク
euu ベルク
euen ベルゲン
euo ベルコ
euaiu ベルサイユ
euena-ooe ベルセンター乙部
euaueai ベルタルベ崎
euaueaa ベルタルベ山
euuu ベルックス
euei-na ベルツェリーナ
euouo ベルトルト
euna-u ベルナール
eui-iaiau ベルビーチ開発
euauo ベルファスト
eueo ベルベット
euueu ベルムデス
euoan ベルモパン
euiuina-naonau ベルリッツ・インターナショナル
euuuo-ni ベルルスコーニ
eun ベルン
euoi ベル文字
ee- ベレー
eeunaia ベレズナイア
eo-na ベローナ
eoa ベロア
eonia ベロニカ
eonia ベロニカ
eoi-i ベロビーチ
en ベン
en ベン
ena- ベン・ハー
enan ベンカン
enai ベンガジ
enau ベンガル
eneio- ベンケイソウ
eneneai ベンケ根岬
eneouui- ベンゲロフスキー
enin ベンジン
enen ベンゼン
enon ベンソン
eno-u ベンゾール
ena ベンダ
eni ベンチ
enia-u ベンチマーク
ena ベンチャ
ena-inu ベンチャー・リンク
enie-a- ベンチレーター
enu ベンツ
enu ベンツ
enen ベンツェン
eneuu ベンベルグ
enu ベン図
eeien ベ平連
e-i ページ
e-enaa ペーメン川
ea ペア
ea ペア
eaoinu ペアウォッチング
eano ペアノ
eiouaa ペイトル川
eiin ペイビン
eiin ペイビン
eiu ペイユ
ein ペイン
eino ペイント
eaau ペガサス
eaaua ペガサス座
ein ペキン
einnoana ペキンノ鼻
ei-aaa ペギー葉山
ee ペケ
eeeeuae ペケレベツ岳
eeeeuaa ペケレベツ川
eiiuo ペシミスト
eaau ペシャワル
euo ペスト
eea ペセタ
eeooanaiaa ペセトコマナイ川
eo ペソ
eo ペソ
eanuaa ペタヌ山
eau ペダル
eaniu ペダンチック
eia ペチカ
eano ペチャンコ
eai- ペッサリー
e'inu ペッティング
eo ペット
eooou ペットボトル
eeaiae ペテガリ岳
eeaiaaaa ペテガリ沢川
eeni ペテン師
eoonau ペトロナス
eoouuina-naonau ペトロルブ・インターナショナル
enauueuaa ペナクシュベツ川
enau'i ペナルティ
enau'i-eia ペナルティーエリア
enan ペナン
enanoe-u ペナントレース
eni- ペニー
eni- ペニー
eniiin ペニシリン
enii ペニヒ
eneoe-on ペネトレーション
ea-ino ペパーミント
ei-a ペピータ
ei-no ペピーノ
euio ペプシコ
euin ペプシン
eeieuaa ペペシエル川
eaea ペラペラ
eaiaa ペラリ山
ei- ペリー
ei- ペリー
eia ペリア
eian ペリカン
eiuo-u ペリスコープ
eieau ペリフェラル
eieauaa-n ペリフェラルパターン
eiu- ペリリュー
ein ペリン
eu ペル
eu- ペルー
eu-ou ペルーソル
eua ペルシャ
euaan ペルシャ湾
ee ペレ
eeia ペレイラ
eeu ペレス
eeuooia ペレストロイカ
eo- ペロー
en ペン
en ペン
eni ペンキ
enin ペンギン
enuau ペンクラブ
enuau ペンクラプ
eneuainaiaa ペンケウタシナイ川
eneeunnaiaa ペンケ目国内川
enon ペンション
enon ペンション
eniu ペンシル
eniuenia ペンシルベニア
enu ペンス
enu ペンス
enai ペンタッチ
enano ペンダント
eni ペンチ
eninu ペンディング
enoauu ペントハウス
enne-u ペンネーム
enueno ペンフレンド
enenua ペンペングサ
enenua ペンペン草
enaio ペンライト
o ホ
o- ホー
o-neu ホーン節
oain ホアキン
oan ホアン
oi-u ホイール
oian ホイアン
oian'ieiooniuo ホイアン遺跡保存事務所
oiuu ホイッスル
oio ホイット
oioni- ホイットニー
oioi ホイホイ
oiu ホイル
oin ホイン
o-iua ホウキグサ
o-o ホウ素
oe-uuoinu ホエールウオッチング
o- ホオ
o-uuo ホオブクロ
oieiau ホギメディカル
oue- ホクエー
oueu ホクエツ
ouo- ホクショー
ouin ホクシン
ouae ホクタテ
ouoano- ホクト産業
ouou ホクホク
ouen ホクレン
oeia ホゲ島
oeia ホゲ島
ooi ホコリ
oiaieni ホシザキ電機
oien ホシデン
oiio- ホシ伊藤
oueu ホステス
ouoain ホストマシン
ouni ホスニ
ouiu ホスピス
oe ホセ
oea ホセア
oea ホセファ
ooaaiuon ホソカワミクロン
oae ホタテ
oaeai ホタテガイ
oau ホタル
oauuuo ホタルブクロ
oiiu ホチキス
o' ホッ
oai ホッカイ
oiai ホッキガイ
oouua ホッキョクグマ
oiia ホッキ島
ou ホック
oe ホッケ
oe- ホッケー
oou ホッコク
oi ホッジ
oa ホッタ
oiiu ホッチキス
oenoo ホッテントット
oo ホット
ooain ホットライン
oa ホッパ
ou ホップ
oo ホッホ
oeio- ホテイソウ
oeio- ホテイ堂
oeu ホテル
oeuauanou ホテル百万石
ooenoa ホトケノザ
oooiu ホトトギス
onaan ホナサン
oniaa ホニアラ
onoeaa ホノケ山
onouu ホノルル
oaeo-e ホハレ峠
oa-o ホバート
oi- ホビー
ouan ホフマン
oooia ホボロ島
oaaiaa ホマカイ川
oaeai ホマッペ崎
ouauen ホムラルエン
oeini ホメイニ
oo ホモ
ooouiuiua ホモモルフィックフィルタ
oa ホヤ
oaoa ホヤホヤ
oaiiiai ホヤ石岬
oa- ホラー
oaai ホラガイ
oauaau ホラムシャハル
oi- ホリー
oieeni ホリエ電機
oiu'iu ホリスティック
oion ホリゾン
oie- ホリデー
oio-u ホリドール
oiuo ホリプロ
ou- ホリュウ
ouuain ホルスタイン
ouuo ホルスト
oua- ホルダー
oua-u ホルダーズ
ouain ホルマリン
ouon ホルモン
oun ホルン
oeu ホレる
ooiu ホロウィッツ
ooa ホロカ
ooaoaiaa ホロカ十勝川
oouai ホログラフィ
oouau ホログラム
ooo-uo ホロコースト
oonaiaa ホロナイ川
oooo ホロホロ
ooooaa ホロホロ山
oooi ホロ酔い
oai ホワイ
oaioouu ホワイトボックス
on ホン
on ホン
on ホン
onono ホンもの
on'in ホンイン
onen ホンケン
onon ホンコン
onuau ホンジュラス
onuau ホンジュラス
ono- ホンゾウ
ono-au ホンゾウガク
ona ホンダ
onaauen ホンダ学園
onne ホンネ
onani ホンマに
onua ホンムラ
onono ホンモノ
onaa ホンワカ
o- ボー
o-oa-u ボーヴォワール
oau ボアズ
oioo ボイコット
oiu ボイス
oiueo-a- ボイスレコーダー
oia- ボイヤー
oia- ボイラー
oiu ボイル
ou ボウ
o-u- ボウフウ
o-u ボウル
oa-o ボガート
oauai- ボキャブラリー
oiiioai ボキリイソ崎
oi- ボギー
oi-a ボギー車
ou ボク
oua- ボクサー
ouinu ボクシング
oe ボケ
oo-a ボコーダ
oo-u ボゴール
oanoa ボサノバ
oaoa ボサボサ
ou ボス
ouon ボストン
ouonau ボストンバッグ
ounia ボスニア
ouniaeueoina ボスニア・ヘルツェゴビナ
ouneenui- ボズネセンスキー
oo' ボソッ
oooo ボソボソ
oa ボタ
oaniaua-o ボタニカルアート
oan'ui ボタンユキ
oaiu ボダイジュ
oioi ボチボチ
ouu ボックス
ouuoiu ボックスオフィス
oonua ボッコ沼
oi ボッシ
ou ボッシュ
ouue- ボッブスレー
ou ボツ
ouou ボツボツ
ouana ボツワナ
oeoe ボテボテ
oe- ボデー
oe-oainu ボデートラッキング
oi ボディ
oi- ボディー
oi-ein'inu ボディーペインティング
oia-o ボディガード
oioniu ボディソニック
oiiu ボディビル
oou ボトム
ooui- ボトムリー
oou ボトル
oouneu ボトルネック
oni- ボニー
oan ボバン
oi- ボビー
oin ボビン
ou ボブ
ouue- ボブスレー
ouueou ボブルベコフ
ouauana ボプタツワナ
oeian ボヘミアン
oo-u ボホール
oa ボヤ
oa ボヤ
oau ボヤく
oai ボヤキ
oa ボラ
oaaa ボラバラ
oan'ia ボランティア
oioi ボリショイ
oiu ボリス
oiau ボリバル
oioi ボリボリ
ou-u ボリューム
oua ボルガ
ouoauuana ボルゴバルスガナ
ouii ボルシチ
oua- ボルジャー
oua ボルタ
oua- ボルダー
oue-i ボルテージ
ouo ボルト
ouo- ボルドー
ouo-ei ボルドー液
ouneo ボルネオ
oua ボルハ
oua ボルパ
ouo ボルボ
oe- ボレー
oeo ボレロ
oo-na ボローニャ
oou ボロッシュ
oonei ボロネジ
on ボン
onoi ボン・ジョヴィ
onanu ボンサンス
oniaa ボンジ山
onan ボンタン
oninu ボンディング
ono ボンド
onnu ボンヌ
onneo ボンネット
onnoana ボンノ鼻
one ボンベ
oneuaiein ボンベルタ伊勢甚
onon ボンボン
o- ポー
o-aa ポー川
oa ポア
oaon ポアソン
oi ポイ
oineia ポインセチア
oina ポインタ
oinou-oino ポイントツーポイント
oiue ポイ捨て
oei- ポエジー
oeu ポエム
oaoa ポカポカ
oaiueo ポカリスエット
oaiueoo-un ポカリスエット・オープン
oeon ポケコン
oeo ポケット
oeoane- ポケットマネー
oeeu ポケベル
ooen ポコペン
oau ポシャる
oi ポジ
oiona ポジショナ
oion ポジション
oiiu ポジチブ
oi'iu ポジティブ
oua- ポスター
ououoea ポストプロセッサ
ounani ポズナニ
oa-u ポタージュ
oaua ポダスカ
oi ポチ
oi ポチ
oao-oe-on ポッカコーポレーション
oi- ポッキー
oeai ポッケ崎
oo ポット
ou ポップ
ouieoauna- ポップリベット・ファスナー
oo ポッポ
ouau ポツダム
ouou ポツポツ
ouioui ポツリポツリ
oun ポツン
ounoun ポツンポツン
oein ポテチン
oeoiuu ポテトチップス
oeiaou ポテリアコフ
oenau ポテンシャル
oenoe-a ポテンショメータ
oo ポト
oou ポトス
ooiaeuaa ポトピラベツ川
ooau ポトマック
ooi ポトリ
ooa ポト派
oni-anion ポニー・キャニオン
oni-anion ポニーキャニオン
oua- ポピュラー
oua- ポピュラー
oinu ポピンズ
oua ポプラ
ouin ポプリン
ooaeeou ポポカテペトル
oou ポポフ
oa-o ポマード
oau ポラック
oaoio ポラロイド
oi ポリ
oi-u ポリープ
oi-n ポリーン
oiauiu ポリアクリル
oiuean ポリウレタン
oieueu ポリエステル
oieien ポリエチレン
oio ポリオ
oiuau ポリグラム
oii- ポリシー
oiuuoinu ポリッシュストリング
oi'iau ポリティカル
oio-u ポリドール
oineia ポリネシア
oiaeu ポリバケツ
oieuin ポリフェムシン
oiuauiuu ポリプラスチックス
oioi ポリポリ
oiaeu ポリマテック
ou ポル
ouoo ポル・ポト
oua ポルカ
ouo-uanu ポルトープランス
ouoa-nin ポルトラーニン
ouno ポルノ
oui- ポルビー
oo ポロ
ooiaaa ポロイワ山
ooeioauaa ポロケシオマップ川
ooanuieuaa ポロサヌシベツ川
oouaa ポロス山
oooo ポロト湖
oonaiuu ポロナイスク
oonouana ポロノツ鼻
ooi ポロリ
oonua ポロ沼
on'anaoaaa ポンアンタロマ川
on'inauiaa ポンイナウシ沢
on'uaieuaa ポンウラシベツ川
onan ポンカン
oniinaa ポンキキン川
onuoanaa ポンクトサン川
onoano- ポンコタン島
onanuieuaa ポンサヌシベツ川
onu ポンス
onouueuaa ポンソウシュベツ川
onaueuaa ポンタルベツ川
onaaaa ポンタワ川
oni ポンチ
onie ポンチ絵
onooaa ポントコ山
onouauiaa ポントムラウシ川
ono ポンド
ono ポンド
onniooaa ポンニコロ川
onniaieuaa ポンニタシベツ川
onneaniiaa ポンネアンチシ山
onneeuaa ポンネベツ川
onnooiai ポンノボリ崎
oninu ポンピング
onu ポンプ
oneuaa ポンベツ川
oneuaa ポンベツ川
onei ポンペイ
onooin ポンポコリン
onon'aa ポンポン山
onaiai ポンマイ崎
